10735,1797,21
10460,1776,30
9762,1745,29
12669,1863,36
9705,1728,38
13019,1921,42
15506,2035,50
10544,1786,28
9819,1775,19
12764,1827,66
14371,1949,41
10039,1788,39
15355,2013,73
13755,1970,31
18134,2159,78
13154,1898,48
11181,1837,16
14673,1947,52
10602,1820,33
14727,2004,41
15103,1990,50
11100,1819,36
14070,1959,45
12159,1896,24
11992,1821,37
10060,1740,44
12022,1819,46
12207,1859,46
12770,1783,36
0,0,0
7007,1411,0
9107,1572,0
1510,1344,0
5370,1463,0
6175,1554,15
10536,1604,17
2916,1435,0
4974,1446,0
6349,1467,0
4026,1470,0
8538,1562,0
6076,1617,16
6497,1492,0
2826,1402,0
8367,1670,17
2759,1401,0
2390,1404,0
6474,1655,11
36019,2690,186
7155,1497,7
2100,1334,0
2193,1368,0
2470,1370,0
1727,1341,0
2104,1474,0
3427,1427,0
1732,1328,0
2969,1393,0
3134,1359,0
2971,1002,0
10694,3199,2
8001,2902,30
11037,3226,5
5263,2750,3
15300,3493,51
8757,3011,29
7132,2806,15
11256,3300,5
2436,2430,0
1223,2140,0
3673,2344,0
6637,2677,0
3321,2413,0
3580,2497,8
9919,3123,11
3032,2489,0
9405,3108,3
3176,2498,0
18213,3846,9
6132,2696,3
3758,2580,1
12850,3324,10
2309,2222,0
4363,2463,6
9787,3328,11
13372,3404,41
6724,2987,0
6643,3008,32
9167,2799,12
1329,1276,0
4929,1860,0
7937,2130,0
3844,1725,0
3414,1657,0
4525,1793,2
4597,1814,0
197,1366,0
8,1349,0
8054,2062,2
5372,1827,0
3570,1645,0
0,1347,0
0,1347,0
0,1347,0
4,1348,0
6907,1992,0
4920,1856,0
4014,1763,0
2573,1541,0
0,1348,0
4059,1742,0
2080,1549,0
2237,1589,0
44,1351,0
0,1347,0
0,1347,0
0,1347,0
0,1347,0
0,1347,0
0,665,0
356,2151,0
2163,2383,0
980,2221,0
0,2064,0
0,2063,0
244,2111,0
0,2063,0
0,2063,0
0,2064,0
149,2093,0
2945,2499,0
2090,2324,1
152,2100,0
3761,2638,0
0,2063,0
1675,2351,0
0,2063,0
0,2064,0
2704,2411,14
3790,2505,16
1326,2195,10
1786,2338,0
0,2063,0
2091,2383,0
1510,2229,0
0,2063,0
0,2063,0
0,2063,0
0,2063,0
0,1383,0
12024,2601,43
10690,2312,32
11034,2525,27
10100,2177,41
15112,2782,28
14131,2770,48
11548,2489,31
15112,2897,48
12453,3158,104
12954,2638,52
6001,2069,0
13481,2529,37
11369,2470,44
10119,2793,55
10159,2463,19
10140,2296,6
10245,2611,21
18387,2732,13
10538,2380,25
10379,2473,36
12183,2752,72
11768,2649,36
11895,2609,55
10227,2498,24
