1644430081,7282
7086361926,9371
4702921684,8572
3977333714,10984
6290855005,5649
3372868164,6861
8877689391,16040
2026352035,5566
5577150313,8304
4319703577,7268
4020332650,2267
4057192912,3838
8053475328,14763
4445114986,4796
6962181067,9794
8792009665,1853
2022484408,11370
8378563200,8717
1927972279,916
2320127002,4716
5553957443,8612
7007744171,11323
1503960366,12116
8583815059,7198
4558609924,7685
2873212765,7555
4388161847,10813
6775888955,2519
1624580081,5743
1844505072,2580
6117666160,7046
2347167796,9519
8253242879,6482
